SNO	Region	Events_fired	Sessions	%_Events_Fired	% session_opened	Regionwise_exploration
892	HIND	231	89	0.00%	0.00%	2.60
893	MAMA	230	106	0.00%	0.00%	2.17
894	NGKL	230	93	0.00%	0.00%	2.47
895	HUSR	224	78	0.00%	0.00%	2.87
896	MDHA	223	98	0.00%	0.00%	2.28
897	MMRR	222	84	0.00%	0.00%	2.64
898	TTPP	220	106	0.00%	0.00%	2.08
899	GOKA	220	33	0.00%	0.00%	6.67
900	BATT	219	123	0.00%	0.00%	1.78
901	KOSG	215	70	0.00%	0.00%	3.07
902	BSRM	214	99	0.00%	0.00%	2.16
903	KRJT	214	56	0.00%	0.00%	3.82
904	OOTY	214	39	0.00%	0.00%	5.49
905	GDRO	211	95	0.00%	0.00%	2.22
906	PENM	209	53	0.00%	0.00%	3.94
907	DEGA	208	61	0.00%	0.00%	3.41
908	THUL	206	63	0.00%	0.00%	3.27
909	BARN	202	96	0.00%	0.00%	2.10
910	GORA	202	91	0.00%	0.00%	2.22
911	DIGR	200	79	0.00%	0.00%	2.53
912	DARS	200	71	0.00%	0.00%	2.82
913	BASA	197	59	0.00%	0.00%	3.34
914	BHUN	196	70	0.00%	0.00%	2.80
915	VRAI	192	73	0.00%	0.00%	2.63
916	KHCU	191	64	0.00%	0.00%	2.98
917	AMLN	191	58	0.00%	0.00%	3.29
918	PEDD	189	83	0.00%	0.00%	2.28
919	CUMB	188	89	0.00%	0.00%	2.11
920	HOLE	188	38	0.00%	0.00%	4.95
921	NEEM	183	66	0.00%	0.00%	2.77
922	DABR	182	88	0.00%	0.00%	2.07
923	IEEJ	182	79	0.00%	0.00%	2.30
924	NAKM	181	105	0.00%	0.00%	1.72
925	ASIK	179	65	0.00%	0.00%	2.75
926	MAYN	179	64	0.00%	0.00%	2.80
927	SAGR	179	60	0.00%	0.00%	2.98
928	DVRL	178	83	0.00%	0.00%	2.14
929	PORU	178	79	0.00%	0.00%	2.25
930	SEMA	178	71	0.00%	0.00%	2.51
931	BIAR	178	68	0.00%	0.00%	2.62
932	RDHM	177	84	0.00%	0.00%	2.11
933	SERA	176	49	0.00%	0.00%	3.59
934	KUKS	173	71	0.00%	0.00%	2.44
935	SARH	173	60	0.00%	0.00%	2.88
936	ULUR	173	47	0.00%	0.00%	3.68
937	Surat	171	68	0.00%	0.00%	2.51
938	SRTA	169	81	0.00%	0.00%	2.09
939	DONG	169	79	0.00%	0.00%	2.14
940	BARR	167	65	0.00%	0.00%	2.57
941	CHLA	167	53	0.00%	0.00%	3.15
942	VAIM	166	64	0.00%	0.00%	2.59
943	KTPE	166	46	0.00%	0.00%	3.61
944	CHRL	165	61	0.00%	0.00%	2.70
945	PUTT	164	90	0.00%	0.00%	1.82
946	BANT	164	65	0.00%	0.00%	2.52
947	BRAC	163	84	0.00%	0.00%	1.94
948	CHTT	162	115	0.00%	0.00%	1.41
949	BIAH	160	58	0.00%	0.00%	2.76
950	AKMP	158	79	0.00%	0.00%	2.00
951	MPUR	158	78	0.00%	0.00%	2.03
952	RAIB	158	34	0.00%	0.00%	4.65
953	PAGD	157	56	0.00%	0.00%	2.80
954	VLEM	155	72	0.00%	0.00%	2.15
955	JAMD	149	60	0.00%	0.00%	2.48
956	BICH	149	47	0.00%	0.00%	3.17
957	LKSH	149	26	0.00%	0.00%	5.73
958	NKHA	148	77	0.00%	0.00%	1.92
959	DMPT	148	52	0.00%	0.00%	2.85
960	KHAJ	146	65	0.00%	0.00%	2.25
961	TADK	146	58	0.00%	0.00%	2.52
962	RMPR	145	67	0.00%	0.00%	2.16
963	PRTH	143	73	0.00%	0.00%	1.96
964	MUUR	142	59	0.00%	0.00%	2.41
965	MNMD	141	53	0.00%	0.00%	2.66
966	PTRT	139	59	0.00%	0.00%	2.36
967	RAMU	138	48	0.00%	0.00%	2.88
968	RAHI	137	62	0.00%	0.00%	2.21
969	GSPR	135	39	0.00%	0.00%	3.46
970	PHAG	134	69	0.00%	0.00%	1.94
971	MDCH	134	40	0.00%	0.00%	3.35
972	SARP	134	35	0.00%	0.00%	3.83
973	RGHA	133	75	0.00%	0.00%	1.77
974	BARD	130	36	0.00%	0.00%	3.61
975	KPKT	129	60	0.00%	0.00%	2.15
976	SHKR	129	36	0.00%	0.00%	3.58
977	SAML	128	60	0.00%	0.00%	2.13
978	GHNP	128	57	0.00%	0.00%	2.25
979	ARSI	125	54	0.00%	0.00%	2.31
980	IIND	125	46	0.00%	0.00%	2.72
981	Hyderabad	122	94	0.00%	0.00%	1.30
982	KEKR	122	45	0.00%	0.00%	2.71
983	Indore	122	39	0.00%	0.00%	3.13
984	DEVD	121	39	0.00%	0.00%	3.10
985	RAJP	121	38	0.00%	0.00%	3.18
986	PHLD	120	46	0.00%	0.00%	2.61
987	Ahmedabad	119	98	0.00%	0.00%	1.21
988	SHIR	119	30	0.00%	0.00%	3.97
989	SGMA	119	29	0.00%	0.00%	4.10
990	PLAB	118	59	0.00%	0.00%	2.00
991	CKNA	118	55	0.00%	0.00%	2.15
992	BHAI	118	44	0.00%	0.00%	2.68
993	BASN	113	51	0.00%	0.00%	2.22
994	BRWN	113	40	0.00%	0.00%	2.83
995	BILR	112	55	0.00%	0.00%	2.04
996	HRDA	112	26	0.00%	0.00%	4.31
997	LING	111	31	0.00%	0.00%	3.58
998	UDAY	110	55	0.00%	0.00%	2.00
999	HIRI	108	45	0.00%	0.00%	2.40
1000	VIDM	108	35	0.00%	0.00%	3.09
1001	BEGU	108	34	0.00%	0.00%	3.18
1002	KMLR	107	43	0.00%	0.00%	2.49
1003	JAMN	104	53	0.00%	0.00%	1.96
1004	NAMI	103	41	0.00%	0.00%	2.51
1005	BALD	102	49	0.00%	0.00%	2.08
1006	BADR	102	40	0.00%	0.00%	2.55
1007	CALC	101	20	0.00%	0.00%	5.05
1008	CHAG	100	54	0.00%	0.00%	1.85
1009	SONH	100	37	0.00%	0.00%	2.70
1010	SEND	100	34	0.00%	0.00%	2.94
1011	KOLL	99	42	0.00%	0.00%	2.36
1012	MLAK	99	37	0.00%	0.00%	2.68
1013	MADD	99	19	0.00%	0.00%	5.21
1014	KKNN	99	16	0.00%	0.00%	6.19
1015	BAKL	98	24	0.00%	0.00%	4.08
1016	VAST	97	54	0.00%	0.00%	1.80
1017	CHEY	97	45	0.00%	0.00%	2.16
1018	AMGN	94	41	0.00%	0.00%	2.29
1019	GTGN	94	27	0.00%	0.00%	3.48
1020	JAUN	91	58	0.00%	0.00%	1.57
1021	BOMM	90	14	0.00%	0.00%	6.43
1022	CHGI	89	33	0.00%	0.00%	2.70
1023	HULI	87	25	0.00%	0.00%	3.48
1024	KIAV	87	3	0.00%	0.00%	29.00
1025	NYNT	86	28	0.00%	0.00%	3.07
1026	VIDI	85	30	0.00%	0.00%	2.83
1027	CHTN	84	16	0.00%	0.00%	5.25
1028	KAAP	82	42	0.00%	0.00%	1.95
1029	Jaipur	80	56	0.00%	0.00%	1.43
1030	DMKL	79	43	0.00%	0.00%	1.84
1031	VNKT	79	31	0.00%	0.00%	2.55
1032	BEJA	79	9	0.00%	0.00%	8.78
1033	KATP	78	33	0.00%	0.00%	2.36
1034	KRSR	78	24	0.00%	0.00%	3.25
1035	PILM	77	42	0.00%	0.00%	1.83
1036	SNWD	77	22	0.00%	0.00%	3.50
1037	KNAI	77	18	0.00%	0.00%	4.28
1038	Warangal	76	51	0.00%	0.00%	1.49
1039	MUNN	76	28	0.00%	0.00%	2.71
1040	GRAP	75	44	0.00%	0.00%	1.70
1041	HARR	75	37	0.00%	0.00%	2.03
1042	PILA	75	28	0.00%	0.00%	2.68
1043	GOGA	75	26	0.00%	0.00%	2.88
1044	HARU	75	24	0.00%	0.00%	3.13
1045	KRTH	75	17	0.00%	0.00%	4.41
1046	NARR	74	27	0.00%	0.00%	2.74
1047	ANJA	74	26	0.00%	0.00%	2.85
1048	MMAI	72	32	0.00%	0.00%	2.25
1049	KHUR	71	34	0.00%	0.00%	2.09
1050	BARQ	71	19	0.00%	0.00%	3.74
1051	SRTI	70	31	0.00%	0.00%	2.26
1052	HHGG	69	18	0.00%	0.00%	3.83
1053	HNVR	67	29	0.00%	0.00%	2.31
1054	LAVA	67	17	0.00%	0.00%	3.94
1055	KTMM	65	32	0.00%	0.00%	2.03
1056	DHUR	65	21	0.00%	0.00%	3.10
1057	PALY	65	9	0.00%	0.00%	7.22
1058	YERR	63	33	0.00%	0.00%	1.91
1059	LEHA	63	18	0.00%	0.00%	3.50
1060	HAPR	62	35	0.00%	0.00%	1.77
1061	BYAD	60	24	0.00%	0.00%	2.50
1062	NIPA	59	26	0.00%	0.00%	2.27
1063	MUDG	59	18	0.00%	0.00%	3.28
1064	NRGD	58	11	0.00%	0.00%	5.27
1065	YELB	57	18	0.00%	0.00%	3.17
1066	KURY	57	12	0.00%	0.00%	4.75
1067	KANC	56	37	0.00%	0.00%	1.51
1068	MAKT	56	35	0.00%	0.00%	1.60
1069	ATHN	56	21	0.00%	0.00%	2.67
1070	KASD	55	27	0.00%	0.00%	2.04
1071	ANGI	55	16	0.00%	0.00%	3.44
1072	Goa	54	43	0.00%	0.00%	1.26
1073	DMND	54	31	0.00%	0.00%	1.74
1074	MANE	54	30	0.00%	0.00%	1.80
1075	JAGA	52	17	0.00%	0.00%	3.06
1076	SNDH	51	42	0.00%	0.00%	1.21
1077	KATR	50	14	0.00%	0.00%	3.57
1078	Coimbatore	49	34	0.00%	0.00%	1.44
1079	Chandigarh	49	29	0.00%	0.00%	1.69
1080	GALA	49	22	0.00%	0.00%	2.23
1081	SASA	48	13	0.00%	0.00%	3.69
1082	MURS	48	8	0.00%	0.00%	6.00
1083	ARGU	47	22	0.00%	0.00%	2.14
1084	MAHE	47	18	0.00%	0.00%	2.61
1085	NLEM	45	23	0.00%	0.00%	1.96
1086	CARO	45	20	0.00%	0.00%	2.25
1087	BARC	45	20	0.00%	0.00%	2.25
1088	IDPA	45	9	0.00%	0.00%	5.00
1089	PALI	45	4	0.00%	0.00%	11.25
1090	THTN	44	30	0.00%	0.00%	1.47
1091	PKWA	43	2	0.00%	0.00%	21.50
1092	COLO	42	26	0.00%	0.00%	1.62
1093	Nagpur	42	26	0.00%	0.00%	1.62
1094	NANP	42	18	0.00%	0.00%	2.33
1095	VISN	41	17	0.00%	0.00%	2.41
1096	MDGR	41	7	0.00%	0.00%	5.86
1097	MAHA	40	33	0.00%	0.00%	1.21
1098	Amritsar	40	27	0.00%	0.00%	1.48
1099	SARD	40	21	0.00%	0.00%	1.90
1100	KADU	39	22	0.00%	0.00%	1.77
1101	NARN	38	28	0.00%	0.00%	1.36
1102	KKRI	38	13	0.00%	0.00%	2.92
1103	MBBH	37	24	0.00%	0.00%	1.54
1104	GJGH	37	20	0.00%	0.00%	1.85
1105	SAUN	37	15	0.00%	0.00%	2.47
1106	ATMK	37	15	0.00%	0.00%	2.47
1107	GRAD	37	12	0.00%	0.00%	3.08
1108	Valsad	36	31	0.00%	0.00%	1.16
1109	AGIR	36	25	0.00%	0.00%	1.44
1110	MATT	36	22	0.00%	0.00%	1.64
1111	SIMI	35	31	0.00%	0.00%	1.13
1112	STHB	35	16	0.00%	0.00%	2.19
1113	MAYR	35	12	0.00%	0.00%	2.92
1114	NMGL	35	10	0.00%	0.00%	3.50
1115	TMLU	35	8	0.00%	0.00%	4.38
1116	REPA	34	18	0.00%	0.00%	1.89
1117	VRAL	33	24	0.00%	0.00%	1.38
1118	MOLA	33	24	0.00%	0.00%	1.38
1119	Lucknow	32	27	0.00%	0.00%	1.19
1120	AZT	32	3	0.00%	0.00%	10.67
1121	Gandhinagar	31	22	0.00%	0.00%	1.41
1122	BILG	31	7	0.00%	0.00%	4.43
1123	MEBN	31	4	0.00%	0.00%	7.75
1124	GING	30	27	0.00%	0.00%	1.11
1125	VIET	30	17	0.00%	0.00%	1.76
1126	MUDD	30	14	0.00%	0.00%	2.14
1127	Siliguri	30	5	0.00%	0.00%	6.00
1128	KHMA	30	4	0.00%	0.00%	7.50
1129	ATPA	29	12	0.00%	0.00%	2.42
1130	GKGK	29	4	0.00%	0.00%	7.25
1131	Mangar	28	23	0.00%	0.00%	1.22
1132	PONU	28	17	0.00%	0.00%	1.65
1133	YANM	28	17	0.00%	0.00%	1.65
1134	ABDB	28	16	0.00%	0.00%	1.75
1135	CHEB	27	17	0.00%	0.00%	1.59
1136	GULD	27	11	0.00%	0.00%	2.45
1137	National+Capital+Region	26	16	0.00%	0.00%	1.63
1138	BSRT	26	11	0.00%	0.00%	2.36
1139	RJGR	25	16	0.00%	0.00%	1.56
1140	TKOT	25	12	0.00%	0.00%	2.08
1141	KOHI	25	9	0.00%	0.00%	2.78
1142	JMKN	25	8	0.00%	0.00%	3.13
1143	RYKL	24	11	0.00%	0.00%	2.18
1144	CHAI	24	9	0.00%	0.00%	2.67
1145	PERN	23	17	0.00%	0.00%	1.35
1146	PANR	23	9	0.00%	0.00%	2.56
1147	KPLI	22	17	0.00%	0.00%	1.29
1148	KHAI	22	16	0.00%	0.00%	1.38
1149	THPR	22	14	0.00%	0.00%	1.57
1150	NABH	22	1	0.00%	0.00%	22.00
1151	PAKA	21	21	0.00%	0.00%	1.00
1152	TAAA	21	18	0.00%	0.00%	1.17
1153	UNKD	21	11	0.00%	0.00%	1.91
1154	BEST	21	8	0.00%	0.00%	2.63
1155	AANI	20	12	0.00%	0.00%	1.67
1156	KHND	20	7	0.00%	0.00%	2.86
1157	Mathura	20	7	0.00%	0.00%	2.86
1158	PANN	19	15	0.00%	0.00%	1.27
1159	LOHA	19	12	0.00%	0.00%	1.58
1160	KOTL	19	7	0.00%	0.00%	2.71
1161	DEVA	19	1	0.00%	0.00%	19.00
1162	TDPT	18	7	0.00%	0.00%	2.57
1163	SAMS	18	7	0.00%	0.00%	2.57
1164	DEVK	18	4	0.00%	0.00%	4.50
1165	MAGA	17	9	0.00%	0.00%	1.89
1166	PULI	17	8	0.00%	0.00%	2.13
1167	HRHR	17	3	0.00%	0.00%	5.67
1168	RATO	16	11	0.00%	0.00%	1.45
1169	CNPI	16	11	0.00%	0.00%	1.45
1170	GULL	16	8	0.00%	0.00%	2.00
1171	TUKE	16	6	0.00%	0.00%	2.67
1172	SELA	16	4	0.00%	0.00%	4.00
1173	EKMA	16	3	0.00%	0.00%	5.33
1174	TALL	15	11	0.00%	0.00%	1.36
1175	MAHU	15	8	0.00%	0.00%	1.88
1176	ABDH	15	5	0.00%	0.00%	3.00
1177	KHMG	15	2	0.00%	0.00%	7.50
1178	BARL	14	11	0.00%	0.00%	1.27
1179	BONI	14	11	0.00%	0.00%	1.27
1180	CHOT	14	11	0.00%	0.00%	1.27
1181	DHAU	14	4	0.00%	0.00%	3.50
1182	Vadodara	13	12	0.00%	0.00%	1.08
1183	DHOR	13	10	0.00%	0.00%	1.30
1184	PANP	13	9	0.00%	0.00%	1.44
1185	National Capital Region	13	8	0.00%	0.00%	1.63
1186	MADA	13	6	0.00%	0.00%	2.17
1187	ZEER	13	5	0.00%	0.00%	2.60
1188	SAWR	13	4	0.00%	0.00%	3.25
1189	DHAC	12	9	0.00%	0.00%	1.33
1190	SOGO	12	7	0.00%	0.00%	1.71
1191	BAPA	12	7	0.00%	0.00%	1.71
1192	MART	12	4	0.00%	0.00%	3.00
1193	Mysuru (Mysore)	11	10	0.00%	0.00%	1.10
1194	Muzaffarnagar	11	8	0.00%	0.00%	1.38
1195	BANJ	11	7	0.00%	0.00%	1.57
1196	Ranchi	11	6	0.00%	0.00%	1.83
1197	NIMA	11	5	0.00%	0.00%	2.20
1198	MUKE	11	4	0.00%	0.00%	2.75
1199	FATD	11	2	0.00%	0.00%	5.50
1200	SHAA	10	8	0.00%	0.00%	1.25
1201	KTAB	10	7	0.00%	0.00%	1.43
1202	PAMA	10	7	0.00%	0.00%	1.43
1203	SAHM	10	6	0.00%	0.00%	1.67
1204	NANA	10	3	0.00%	0.00%	3.33
1205	Mangaluru (Mangalore)	9	9	0.00%	0.00%	1.00
1206	RAXA	9	8	0.00%	0.00%	1.13
1207	SOCH	9	7	0.00%	0.00%	1.29
1208	Jamshedpur	9	6	0.00%	0.00%	1.50
1209	CHOK	9	6	0.00%	0.00%	1.50
1210	Pathankot	9	5	0.00%	0.00%	1.80
1211	DORN	9	4	0.00%	0.00%	2.25
1212	BHMG	9	4	0.00%	0.00%	2.25
1213	CANN	9	2	0.00%	0.00%	4.50
1214	MARK	9	2	0.00%	0.00%	4.50
1215	KAPP	9	1	0.00%	0.00%	9.00
1216	NINO	9	1	0.00%	0.00%	9.00
1217	Kolhapur	8	6	0.00%	0.00%	1.33
1218	PONE	8	3	0.00%	0.00%	2.67
1219	TELP	8	3	0.00%	0.00%	2.67
1220	MALP	8	3	0.00%	0.00%	2.67
1221	Morbi	7	7	0.00%	0.00%	1.00
1222	Vapi	7	6	0.00%	0.00%	1.17
1223	SAKL	7	4	0.00%	0.00%	1.75
1224	HARI	7	3	0.00%	0.00%	2.33
1225	BAMA	7	1	0.00%	0.00%	7.00
1226	Rohtak	6	6	0.00%	0.00%	1.00
1227	CHHI	6	6	0.00%	0.00%	1.00
1228	Gandhidham	6	6	0.00%	0.00%	1.00
1229	Trivandrum	6	6	0.00%	0.00%	1.00
1230	GOLL	6	6	0.00%	0.00%	1.00
1231	CHIH	6	5	0.00%	0.00%	1.20
1232	TITT	6	4	0.00%	0.00%	1.50
1233	ARMO	6	3	0.00%	0.00%	2.00
1234	Bharuch	6	3	0.00%	0.00%	2.00
1235	CHET	6	3	0.00%	0.00%	2.00
1236	JRD	6	3	0.00%	0.00%	2.00
1237	PAPT	6	2	0.00%	0.00%	3.00
1238	KHRH	6	2	0.00%	0.00%	3.00
1239	Latur	6	2	0.00%	0.00%	3.00
1240	NAUT	6	1	0.00%	0.00%	6.00
1241	THIR	6	1	0.00%	0.00%	6.00
1242	NDWB	6	1	0.00%	0.00%	6.00
1243	Trichy	5	5	0.00%	0.00%	1.00
1244	Pondicherry	5	5	0.00%	0.00%	1.00
1245	CHHA	5	4	0.00%	0.00%	1.25
1246	Salem	5	4	0.00%	0.00%	1.25
1247	Rajkot	5	4	0.00%	0.00%	1.25
1248	Tiruvannamalai	5	2	0.00%	0.00%	2.50
1249	Nalgonda	5	2	0.00%	0.00%	2.50
1250	KTCH	5	2	0.00%	0.00%	2.50
1251	MAVY	5	2	0.00%	0.00%	2.50
1252	Jodhpur	5	1	0.00%	0.00%	5.00
1253	Kochi	4	4	0.00%	0.00%	1.00
1254	Kozhikode	4	4	0.00%	0.00%	1.00
1255	Navsari	4	4	0.00%	0.00%	1.00
1256	Nashik	4	4	0.00%	0.00%	1.00
1257	NEDU	4	3	0.00%	0.00%	1.33
1258	SNTK	4	3	0.00%	0.00%	1.33
1259	Mettuppalayam	4	3	0.00%	0.00%	1.33
1260	KATM	4	2	0.00%	0.00%	2.00
1261	SEPA	4	2	0.00%	0.00%	2.00
1262	Bhopal	4	2	0.00%	0.00%	2.00
1263	Panipat	4	2	0.00%	0.00%	2.00
1264	MNMI	4	2	0.00%	0.00%	2.00
1265	Vijayawada	4	2	0.00%	0.00%	2.00
1266	CMBM	4	1	0.00%	0.00%	4.00
1267	CHAR	4	1	0.00%	0.00%	4.00
1268	Howrah	3	3	0.00%	0.00%	1.00
1269	PRLI	3	3	0.00%	0.00%	1.00
1270	ASNA	3	3	0.00%	0.00%	1.00
1271	Tirupur	3	3	0.00%	0.00%	1.00
1272	Anand	3	3	0.00%	0.00%	1.00
1273	Surendranagar	3	3	0.00%	0.00%	1.00
1274	Bhiwadi	3	3	0.00%	0.00%	1.00
1275	Vellore	3	3	0.00%	0.00%	1.00
1276	Agra	3	3	0.00%	0.00%	1.00
1277	Madurai	3	3	0.00%	0.00%	1.00
1278	Belagavi (Belgaum)	3	3	0.00%	0.00%	1.00
1279	Satara	3	2	0.00%	0.00%	1.50
1280	DHAA	3	2	0.00%	0.00%	1.50
1281	PAHT	3	2	0.00%	0.00%	1.50
1282	Thanjavur	3	2	0.00%	0.00%	1.50
1283	Umbergaon	3	2	0.00%	0.00%	1.50
1284	SABA	3	1	0.00%	0.00%	3.00
1285	NALJ	3	1	0.00%	0.00%	3.00
1286	Bhiwani	3	1	0.00%	0.00%	3.00
1287	Kota	3	1	0.00%	0.00%	3.00
1288	MELA	3	1	0.00%	0.00%	3.00
1289	Neemrana	3	1	0.00%	0.00%	3.00
1290	Raipur	3	1	0.00%	0.00%	3.00
1291	AUSH	3	1	0.00%	0.00%	3.00
1292	Aurangabad	2	2	0.00%	0.00%	1.00
1293	CHEK	2	2	0.00%	0.00%	1.00
1294	Ankleshwar	2	2	0.00%	0.00%	1.00
1295	Secunderabad	2	2	0.00%	0.00%	1.00
1296	Erode	2	2	0.00%	0.00%	1.00
1297	Kanpur	2	2	0.00%	0.00%	1.00
1298	Guwahati	2	2	0.00%	0.00%	1.00
1299	Cuttack	2	2	0.00%	0.00%	1.00
1300	BGPI	2	1	0.00%	0.00%	2.00
1301	KLNT	2	1	0.00%	0.00%	2.00
1302	GRAH	2	1	0.00%	0.00%	2.00
1303	SANR	2	1	0.00%	0.00%	2.00
1304	BSRI	2	1	0.00%	0.00%	2.00
1305	SELU	2	1	0.00%	0.00%	2.00
1306	Dindigul	2	1	0.00%	0.00%	2.00
1307	Durgapur	2	1	0.00%	0.00%	2.00
1308	SABB	2	1	0.00%	0.00%	2.00
1309	ALUR	2	1	0.00%	0.00%	2.00
1310	PORT	2	1	0.00%	0.00%	2.00
1311	CHDD	2	1	0.00%	0.00%	2.00
1312	BLVD	2	1	0.00%	0.00%	2.00
1313	NJGU	2	1	0.00%	0.00%	2.00
1314	Bangalore	1	1	0.00%	0.00%	1.00
1315	KCKA	1	1	0.00%	0.00%	1.00
1316	Shadnagar	1	1	0.00%	0.00%	1.00
1317	CHDN	1	1	0.00%	0.00%	1.00
1318	Villupuram	1	1	0.00%	0.00%	1.00
1319	Bhubaneswar	1	1	0.00%	0.00%	1.00
1320	Bhuj	1	1	0.00%	0.00%	1.00
1321	Gobichettipalayam	1	1	0.00%	0.00%	1.00
1322	Tenkasi	1	1	0.00%	0.00%	1.00
1323	Bhavnagar	1	1	0.00%	0.00%	1.00
1324	Jalandhar	1	1	0.00%	0.00%	1.00
1325	Palghar	1	1	0.00%	0.00%	1.00
1326	RJAM	1	1	0.00%	0.00%	1.00
1327	Panchkula	1	1	0.00%	0.00%	1.00
1328	Kanchipuram	1	1	0.00%	0.00%	1.00
1329	Hospet	1	1	0.00%	0.00%	1.00
1330	Ranipet	1	1	0.00%	0.00%	1.00
1331	Nagercoil	1	1	0.00%	0.00%	1.00
1332	Abu Road	1	1	0.00%	0.00%	1.00
1333	Tindivanam	1	1	0.00%	0.00%	1.00
1334	BNSA	1	1	0.00%	0.00%	1.00
1335	SAPE	1	1	0.00%	0.00%	1.00
1336	Haripad	1	1	0.00%	0.00%	1.00
1337	Bilimora	1	1	0.00%	0.00%	1.00
1338	Jalna	1	1	0.00%	0.00%	1.00
1339	Ludhiana	1	1	0.00%	0.00%	1.00
1340	RONC	1	1	0.00%	0.00%	1.00
1341	KMLA	1	1	0.00%	0.00%	1.00
1342	Anantapur	1	1	0.00%	0.00%	1.00
1343	Dausa	1	1	0.00%	0.00%	1.00
1344	Kurukshetra	1	1	0.00%	0.00%	1.00
1345	Godhra	1	1	0.00%	0.00%	1.00
1346	Meerut	1	1	0.00%	0.00%	1.00
1347	Ambala	1	1	0.00%	0.00%	1.00
1348	Dehradun	1	1	0.00%	0.00%	1.00
1349	Pulluvila	1	1	0.00%	0.00%	1.00
1350	Shrirampur	1	1	0.00%	0.00%	1.00
1351	JIRA	1	1	0.00%	0.00%	1.00
1352	Mohali	1	1	0.00%	0.00%	1.00
1353	Vijapur	1	1	0.00%	0.00%	1.00
1354	Titagarh	1	1	0.00%	0.00%	1.00
1355	JYAM	1	1	0.00%	0.00%	1.00
1356	Jamnagar	1	1	0.00%	0.00%	1.00
1357	Chidambaram	1	1	0.00%	0.00%	1.00
1358	Tirupati	1	1	0.00%	0.00%	1.00
1359	HSBD	1	1	0.00%	0.00%	1.00
1360	SKPM	1	1	0.00%	0.00%	1.00
1361	KIDI	1	1	0.00%	0.00%	1.00
1362	Pathanamthitta	1	1	0.00%	0.00%	1.00
1363	Krishnanagar	1	1	0.00%	0.00%	1.00
1364	Idar	1	1	0.00%	0.00%	1.00
1365	Patan	1	1	0.00%	0.00%	1.00
1366	Nakhatrana	1	1	0.00%	0.00%	1.00